entry_time,exit_time,trade_type,entry_price,exit_price,stop_loss,take_profit,position_size,pnl_currency,account_balance,result,setup_type,trigger_level
2025-02-14 11:46:00,2025-02-14 11:47:00,buy,1.04778,1.04799,1.04799,1.0482,568236.4195556229,119.3296481067055,12052.294458777256,loss,MSS - Bullish,Break of LH at 1.04583
2025-02-14 11:47:00,2025-02-14 11:48:00,buy,1.04775,1.04799,1.04799,1.04823,502178.9357823481,120.52294458777257,12172.817403365028,loss,MSS - Bullish,Break of LH at 1.04583
2025-02-14 11:48:00,2025-02-14 11:49:00,buy,1.04765,1.04799,1.04799,1.04833,358024.0412754347,121.7281740336503,12294.54557739868,loss,MSS - Bullish,Break of LH at 1.04583
2025-02-14 11:49:00,2025-02-14 11:55:00,buy,1.04771,1.04799,1.04757,1.04799,878181.8269568667,245.8909115479736,12540.436488946652,win,MSS - Bullish,Break of LH at 1.04583
2025-02-14 11:55:00,2025-02-14 12:09:00,buy,1.04788,1.04757,1.04757,1.0485,404530.2093208174,-125.40436488946652,12415.032124057187,loss,MSS - Bullish,Break of LH at 1.04583
2025-02-14 12:09:00,2025-02-14 12:14:00,buy,1.04767,1.0478700000000005,1.04757,1.0478700000000005,1241503.2124030988,248.30064248114377,12663.33276653833,win,MSS - Bullish,Break of LH at 1.04583
2025-02-14 12:14:00,2025-02-14 12:29:00,buy,1.04787,1.04756,1.04756,1.0484900000000001,408494.6053721614,-126.63332766538329,12536.699438872945,loss,MSS - Bullish,Break of LH at 1.04583
2025-02-14 12:31:00,2025-02-14 12:32:00,buy,1.04768,1.04756,1.04756,1.0479199999999997,1044724.9532403004,-125.36699438872945,12411.332444484216,loss,MSS - Bullish,Break of LH at 1.04583
2025-02-14 12:35:00,2025-02-14 12:36:00,buy,1.04736,1.04756,1.04756,1.04776,620566.6222242792,124.11332444484218,12535.44576892906,loss,MSS - Bullish,Break of LH at 1.04583
2025-02-14 12:36:00,2025-02-14 12:37:00,buy,1.04731,1.04756,1.04756,1.0478100000000001,501417.83075699495,125.3544576892906,12660.80022661835,loss,MSS - Bullish,Break of LH at 1.04583
2025-02-14 12:37:00,2025-02-14 12:38:00,buy,1.04714,1.04756,1.04756,1.0479800000000001,301447.6244432316,126.60800226618349,12787.408228884533,loss,MSS - Bullish,Break of LH at 1.04583
2025-02-14 12:38:00,2025-02-14 12:39:00,buy,1.04704,1.04756,1.04756,1.0480800000000001,245911.69670928203,127.87408228884533,12915.282311173378,loss,MSS - Bullish,Break of LH at 1.04583
2025-02-14 12:39:00,2025-02-14 12:40:00,buy,1.04685,1.04756,1.04756,1.04827,181905.38466441672,129.15282311173377,13044.435134285111,loss,MSS - Bullish,Break of LH at 1.04583
2025-02-14 12:40:00,2025-02-14 12:41:00,buy,1.04683,1.04756,1.04756,1.0482900000000002,178690.89225045175,130.44435134285112,13174.879485627962,loss,MSS - Bullish,Break of LH at 1.04583
2025-02-14 12:41:00,2025-02-14 12:42:00,buy,1.0467,1.04756,1.04756,1.0484200000000001,153196.27308868247,131.74879485627963,13306.628280484241,loss,MSS - Bullish,Break of LH at 1.04583
2025-02-14 12:42:00,2025-02-14 12:43:00,buy,1.04685,1.04756,1.04756,1.04827,187417.29972513323,133.06628280484242,13439.694563289084,loss,MSS - Bullish,Break of LH at 1.04583
2025-02-14 12:44:00,2025-02-14 12:47:00,buy,1.04676,1.0469999999999997,1.04664,1.0469999999999997,1119974.5469417092,268.79389126578167,13708.488454554865,win,MSS - Bullish,Break of LH at 1.04583
2025-02-14 12:47:00,2025-02-14 12:52:00,buy,1.047,1.04664,1.04664,1.0477199999999998,380791.3459599463,-137.08488454554865,13571.403570009315,loss,MSS - Bullish,Break of LH at 1.04583
2025-02-14 12:52:00,2025-02-14 14:11:00,sell,1.0466,1.0457400000000001,1.04703,1.0457400000000001,315614.0365118956,271.4280714001863,13842.831641409502,win,MSS - Bearish,Break of HL at 1.04664
2025-02-14 14:11:00,2025-02-14 14:26:00,sell,1.04573,1.04681,1.04681,1.04357,128174.36705009158,-138.42831641409504,13704.403324995408,loss,MSS - Bearish,Break of HL at 1.04664
2025-02-14 15:01:00,2025-02-14 15:17:00,buy,1.04738,1.04814,1.047,1.04814,360642.19276299246,274.08806649990817,13978.491391495316,win,MSS - Bullish,Break of LH at 1.04721
2025-02-14 15:17:00,2025-02-14 16:36:00,buy,1.0481,1.0503000000000002,1.047,1.0503000000000002,127077.19446812758,279.56982782990633,14258.061219325222,win,MSS - Bullish,Break of LH at 1.04721
2025-02-14 16:36:00,2025-02-14 17:13:00,buy,1.05059,1.04954,1.04954,1.05269,135791.05923166938,-142.58061219325222,14115.480607131969,loss,MSS - Bullish,Break of LH at 1.04721
2025-02-14 17:13:00,2025-02-14 17:14:00,buy,1.04974,1.05021,1.05021,1.0506800000000003,300329.3746197061,141.15480607131968,14256.635413203288,loss,MSS - Bullish,Break of LH at 1.04721
2025-02-14 17:14:00,2025-02-14 17:16:00,buy,1.04971,1.05005,1.04954,1.05005,838625.6125413529,285.1327082640658,14541.768121467354,win,MSS - Bullish,Break of LH at 1.04721
2025-02-14 17:16:00,2025-02-14 17:26:00,buy,1.05001,1.04954,1.04954,1.0509500000000005,309399.32173322124,-145.41768121467354,14396.35044025268,loss,MSS - Bullish,Break of LH at 1.04721
2025-02-14 17:28:00,2025-02-14 17:29:00,buy,1.04931,1.04954,1.04954,1.0497699999999999,625928.2800111155,143.9635044025268,14540.313944655207,loss,MSS - Bullish,Break of LH at 1.04721
2025-02-14 17:29:00,2025-02-14 17:30:00,buy,1.04915,1.04954,1.04954,1.0499299999999998,372828.5626835716,145.40313944655207,14685.71708410176,loss,MSS - Bullish,Break of LH at 1.04721
2025-02-14 17:30:00,2025-02-14 17:31:00,buy,1.04942,1.04954,1.04954,1.0496599999999998,1223809.7570095204,146.8571708410176,14832.574254942778,loss,MSS - Bullish,Break of LH at 1.04721
2025-02-14 17:31:00,2025-02-14 17:38:00,buy,1.04948,1.0502599999999997,1.04909,1.0502599999999997,380322.4167935114,296.6514850988556,15129.225740041633,win,MSS - Bullish,Break of LH at 1.04721
2025-02-14 17:38:00,2025-02-14 23:00:00,buy,1.05016,1.04909,1.04909,1.0522999999999998,141394.6330845139,-151.29225740041633,14977.933482641216,loss,MSS - Bullish,Break of LH at 1.04721
2025-02-17 08:00:00,2025-02-17 08:15:00,sell,1.04898,1.04911,1.04911,1.04872,1152148.7294342634,-149.77933482641217,14828.154147814805,loss,MSS - Bearish,Break of HL at 1.04945
2025-02-17 08:16:00,2025-02-17 08:17:00,sell,1.04914,1.04902,1.04902,1.0489000000000002,1235679.512318951,148.28154147814806,14976.435689292954,loss,MSS - Bearish,Break of HL at 1.04945
2025-02-17 08:19:00,2025-02-17 08:38:00,sell,1.04895,1.04919,1.04919,1.04847,624018.153720493,-149.76435689292953,14826.671332400025,loss,MSS - Bearish,Break of HL at 1.04945
